,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1
chr1:1073505-1075690,1.8419558572252436e-06,0.00015655094794529768,-3.405062538358774e-05,0.0003050437137584245,-7.17968540245718e-05,Trajectory-1,870.0
chr1:1250170-1251592,0.00011330908600934263,0.00033955894821397067,4.1166070122734594e-07,0.00024721881541375806,-4.688041816096259e-05,Trajectory-1,1014.0
chr1:3596873-3600260,0.00014586535785000054,-0.0003385572797598262,-0.0004640365775014089,0.00011719347602097484,0.00023745303724147042,Trajectory-1,964.0
chr1:6000870-6004154,0.00018408167419152737,-0.0002707927708099138,-0.0004605527085763769,0.000150578749677376,0.00019694917678248758,Trajectory-1,1013.0
chr1:6489137-6492006,0.00024267413618046492,0.00023265113294361966,-0.0001742704983361259,0.00020268253186463844,4.2010119314695696e-05,Trajectory-1,1096.0
chr1:6496206-6498339,0.001255475970166323,-0.00032294447970417827,-0.000917052728220828,-0.00020167776091822794,-2.334663675589714e-06,Trajectory-1,1396.0
chr1:6962194-6963846,0.005016569693010351,-0.0023030860682769594,0.0008980762542925794,-0.0016330321583293188,-0.002540359134892897,Trajectory-1,1487.0
chr1:7929593-7931855,0.0022948054638164744,-0.0010190708781286548,-0.0010050400136655607,-0.0008996739819358897,-0.0006798412182474509,Trajectory-1,1443.0
chr1:8509682-8510976,-0.000579374190960123,-0.00047718075040529976,0.0002157586553398926,-0.00022798415127817912,-6.629923451432889e-05,Trajectory-1,95.0
chr1:8829282-8830176,0.0003433664914167351,9.663022939524613e-05,-0.00033069106003475357,0.00016429307125616637,7.479546677889824e-05,Trajectory-1,1145.0
chr1:9680789-9681600,5.0661192381448704e-05,-0.00042870011610295663,-0.00041098604743947234,-2.622027682445022e-06,0.0002513480233710077,Trajectory-1,842.0
chr1:10941888-10942419,0.000495215400287814,9.907298034777405e-05,-0.0004501857818403612,0.00015425292598274582,0.0001171374423112464,Trajectory-1,1228.0
chr1:11037503-11038265,-5.979599969970025e-05,0.000280571047457853,0.00012429885834223985,0.000264593841013961,-0.00013158529006875174,Trajectory-1,804.0
chr1:12087369-12089349,0.00033766654671863263,-4.545015316252368e-05,-0.00043550596222527335,0.00019812868517605375,0.00012109997657944181,Trajectory-1,1130.0
chr1:15323292-15324150,-0.0002342050421402083,-5.449184088170944e-06,0.0001325873463776043,0.00017442933908165745,-0.00014795517840142361,Trajectory-1,532.0
chr1:19606139-19607306,-0.00043039844661994136,-0.00010712087922136694,0.00031620163235220045,-0.00021178574870043998,-6.900784296333235e-05,Trajectory-1,236.0
chr1:21329164-21330299,-2.8083134160712943e-05,-0.0003116786116399585,-0.0002781283776264125,6.151832521698095e-05,0.00016689541571898774,Trajectory-1,756.0
chr1:21453955-21454366,-0.0007991257770773714,-0.0010430842185831421,0.00010423413832067842,-0.0007590777007409461,0.0002873905029567451,Trajectory-1,11.0
chr1:22063936-22065117,-0.00025859973449090124,0.0006010990913391905,0.0006244757023432412,-0.00014197605459703432,-0.00016220366652901927,Trajectory-1,571.0
chr1:23118705-23120205,8.57093756604407e-05,0.000729887883958945,0.0003235067706805794,0.00015060149989178217,-0.0001109236981497559,Trajectory-1,1024.0
chr1:23590259-23593877,-0.00013186640389662392,0.0008207084845998743,0.0006401866390068137,-0.00015062806407149654,-6.949714681550924e-05,Trajectory-1,768.0
chr1:24586818-24587824,-0.0003822342106773664,-0.0002746340767671249,0.00012095599516467717,-6.776676543554699e-05,-3.460353975327839e-05,Trajectory-1,269.0
chr1:24748136-24749623,0.00037495596931896944,-8.886650232290286e-05,-0.00044294101583524856,7.602457100831594e-05,0.00012141391414910224,Trajectory-1,1150.0
chr1:25564754-25567240,0.0001444997412236461,-0.0005102270509300453,-0.0005033554976997896,-9.056275546317618e-05,0.0002715923297026214,Trajectory-1,925.0
chr1:26733900-26734435,-0.0006116561351234257,-0.0005940011488038022,0.00017029803859063504,-0.00035150399678923755,4.3588956057705284e-05,Trajectory-1,74.0
chr1:27250299-27250961,9.809768822991106e-05,0.0002352090376537288,-7.016494210621276e-05,0.00029065556048859126,-5.153436809362969e-05,Trajectory-1,987.0
chr1:27421676-27422738,0.0004136045812578615,0.0008552000690120198,0.00010101202358799517,7.921442241455897e-05,8.907259939420177e-05,Trajectory-1,1235.0
chr1:28096669-28097451,-0.0005298320973142815,-0.00012586800712492552,0.00041377321844785544,-0.00014370147943303398,-0.00025175920400120476,Trajectory-1,156.0
chr1:28774760-28776053,0.00023908150890866205,-0.00010051243189508747,-0.0004219072576304101,0.0002903535738580808,9.542374012165793e-05,Trajectory-1,1064.0
chr1:32019848-32021902,-0.00016862998306739352,0.00020367032058221047,0.00019253876128035957,0.00023623575884421737,-0.00017216705123378374,Trajectory-1,655.0
chr1:32359681-32362894,-0.00022227856010531468,-0.0003057421900227511,-0.00010477805501748496,0.00015097869466163495,4.594482890055979e-05,Trajectory-1,504.0
chr1:32371783-32372831,7.999478608963645e-05,-4.986749387052564e-05,-0.00024501162253041275,0.00026918242797258134,7.146638532019311e-05,Trajectory-1,929.0
chr1:36095573-36100496,-0.0002809660377476657,-0.00017181848309178116,6.116956739729063e-05,0.00016870744262667065,-9.91331108432364e-05,Trajectory-1,420.0
chr1:36154944-36158893,-0.0003402982365768652,-0.00024646195767666444,8.006709066236368e-05,0.00011399728937255692,-0.00010128679035889531,Trajectory-1,316.0
chr1:36159529-36163128,-0.000350665383579045,-0.00020023536983497997,0.0001318623905416266,9.408931508538934e-05,-0.0001346500146100656,Trajectory-1,307.0
chr1:37676032-37676692,0.0024889206214770603,-0.00016815120903617962,-0.000725714197194474,-0.0007673410663201315,-0.0007525454720835544,Trajectory-1,1469.0
chr1:38996250-38998238,-0.0004768771171663252,-0.00039797635582799356,0.00014453210104441736,-0.00014972107402843124,-1.8858826535636928e-05,Trajectory-1,165.0
chr1:39183423-39184760,-0.0004085475064364166,-0.0005216509488014544,-6.969657690847459e-06,-0.00018463267824625254,9.075859614989785e-05,Trajectory-1,223.0
chr1:39258436-39259138,-0.0003184206087543481,-0.0002053294649794774,0.0001062349747881803,-6.469315957186984e-05,-5.100270643364224e-06,Trajectory-1,357.0
chr1:39653434-39653966,9.10507620302368e-05,-0.0004306823148879362,-0.000431376357151292,-2.2052225741639274e-05,0.00024039500144406296,Trajectory-1,885.0
chr1:40755187-40755355,-0.0004226998921586692,-0.00013558333981062492,0.0002877923635535144,-0.0001681393487945746,-0.00012497827532738853,Trajectory-1,235.0
chr1:41344281-41344795,0.0011222854795942736,-0.000364927286722962,-0.0008296743271218113,-0.00020536054803611258,-4.152646733584927e-05,Trajectory-1,1377.0
chr1:43221076-43221845,0.002787647434075163,0.0003733086533407753,-0.0006431775010438201,-0.0010588070082075292,-0.0005484035110377576,Trajectory-1,1475.0
